Latitude,Longitude,XCO2BiasCo
6.25,116.25,421.2899
7.75,99.25,420.61255
11.25,107.25,423.369495
12.25,99.75,421.88097
13.25,80.25,423.2439
13.25,101.75,423.37564
13.75,100.25,425.98212
13.75,100.75,419.5784
14.25,100.25,419.801374
14.75,100.25,420.026635
15.25,100.25,419.7801
15.75,100.25,420.701706667
16.25,100.25,418.244282
16.25,119.75,420.11584
16.75,100.25,418.89995
17.25,99.75,418.4914325
17.75,97.25,420.178315714
17.75,99.75,420.253205
17.75,105.25,419.943383333
18.25,99.75,419.8495375
18.75,94.75,418.580437667
18.75,100.25,419.13487
18.75,100.75,419.4233125
18.75,103.25,425.370348889
18.75,108.75,421.485266667
19.25,101.25,416.94803
19.25,101.75,421.445115
19.75,102.25,419.014685
19.75,102.75,418.919046667
19.75,103.25,418.405816667
20.25,97.75,421.181422778
20.25,103.75,420.589483333
20.25,104.25,419.02195
20.25,106.25,420.300613333
20.75,85.25,420.62036
20.75,104.25,419.0784
20.75,104.75,421.07535
20.75,105.25,417.58594
21.25,84.75,415.452715
21.25,92.75,417.606739259
21.25,95.25,416.966091818
21.25,101.25,419.534466667
21.25,103.75,421.14272
21.25,105.75,418.64923
21.75,81.75,417.94647
21.75,82.25,419.61435
21.75,83.25,419.97174
21.75,86.75,418.362163333
21.75,87.25,422.08273
22.25,82.75,416.8107
22.25,83.25,417.854
22.25,87.25,419.67615
22.25,87.75,420.048385
22.25,113.25,419.5681
22.25,114.25,422.95233
22.75,98.75,418.943114762
22.75,106.75,421.027153333
22.75,113.75,422.48688
22.75,114.75,421.697284
23.25,113.25,421.170675
23.75,82.75,419.70433
23.75,90.25,418.69410375
23.75,90.75,417.782428333
23.75,93.25,417.01923125
23.75,101.75,425.28210125
23.75,104.25,418.786153333
23.75,109.75,423.3294825
23.75,112.25,421.76473
23.75,113.25,420.68398
24.25,82.25,419.09577
24.25,82.75,419.122886
24.25,89.75,419.6071
24.25,90.75,417.14145
24.25,91.75,419.74188
24.25,113.25,423.37967
24.75,87.75,419.09405
24.75,90.75,416.720256667
24.75,91.25,416.5244
24.75,91.75,414.58606
24.75,113.25,420.028735
25.25,99.25,424.9140825
25.25,107.25,418.232308
25.25,113.25,423.9582
25.25,115.75,420.4056
25.75,80.75,416.90225
25.75,113.25,420.08606
26.25,93.75,416.071682308
26.25,96.75,416.314201667
26.25,102.25,419.094325
26.25,104.75,419.372268889
26.25,110.25,421.21018
26.25,112.75,420.652801667
26.25,113.25,421.254075
26.75,112.75,421.70955
27.25,112.75,420.096
27.75,99.75,419.512965
27.75,107.75,422.128313333
27.75,112.75,422.28992
27.75,116.25,419.490796667
28.25,105.25,425.7909
28.25,112.75,424.127855
28.75,86.25,418.708175833
28.75,89.25,419.72475
28.75,97.25,428.906751667
28.75,110.75,420.74591
28.75,113.75,422.214502
29.25,80.25,415.83566
29.25,106.25,423.76108
29.25,106.75,422.72916
29.75,80.25,424.69904
29.75,91.25,420.06308
29.75,106.25,425.460145
29.75,106.75,423.692385
30.25,84.25,412.05441
30.25,100.75,423.63368913
31.25,97.75,415.684488333
31.25,104.75,420.86795
31.25,111.25,420.095682857
31.25,114.25,420.939046667
31.25,115.75,422.627526667
31.75,86.75,416.131245556
31.75,104.75,424.0509
31.75,116.75,424.185
32.25,106.25,418.68025
32.75,84.75,415.702130556
32.75,93.25,419.16498
32.75,101.25,415.623304615
32.75,109.25,421.083246
32.75,115.75,421.806966667
32.75,117.25,422.063745
33.75,82.25,416.327243333
33.75,90.25,416.282023333
33.75,95.75,416.6482425
33.75,103.75,419.21704
33.75,106.75,423.28748
33.75,113.25,421.03836
33.75,114.75,420.01645
33.75,119.75,422.115366667
34.25,113.75,421.7466
34.75,113.75,420.02469
34.75,119.25,427.0348
35.25,85.75,418.974456667
35.25,102.25,414.370862667
35.25,110.25,424.331975455
35.25,113.75,421.65881
35.25,115.25,420.23563
35.25,115.75,421.44476
35.25,116.75,420.579265
35.75,114.25,422.65314
35.75,115.25,420.08075
36.25,82.75,420.066664615
36.25,96.25,417.196908889
36.25,99.25,413.345267273
36.25,104.75,420.394
36.25,107.25,422.198651765
36.25,113.25,425.125653333
36.25,115.75,424.190961111
36.75,96.25,419.17526
36.75,104.75,421.548496
36.75,112.75,418.827563333
36.75,117.25,422.29651
36.75,119.25,423.1367
37.25,94.75,418.386384
37.25,114.25,423.059935
37.25,116.25,424.405745
37.75,86.75,422.614776
37.75,94.75,416.924098421
37.75,95.25,419.799615
37.75,102.75,418.467136667
37.75,111.25,419.546068889
37.75,112.75,427.320436667
37.75,114.75,425.50851
38.25,91.75,418.692635333
38.25,114.25,421.27951
38.25,114.75,426.36276
38.75,80.75,422.431809091
38.75,83.75,419.482346
38.75,105.25,420.68034
38.75,108.25,420.957774737
39.25,80.75,422.023405
39.25,105.25,421.01311
39.75,93.75,423.09085
39.75,94.75,418.99497
39.75,109.25,419.22644
39.75,116.25,425.209117778
39.75,116.75,424.80902
