Latitude,Longitude,XCO2BiasCorrected,Date
23.90755,109.79765,422.7889,2023-01-01
39.69986,94.6809,420.3451,2023-01-01
37.741016,95.35187,422.22452,2023-01-01
37.674667,94.651276,416.1715,2023-01-01
37.67391,94.6502,416.13922,2023-01-01
37.672256,94.64866,417.12924,2023-01-01
23.850899,90.56718,417.69006,2023-01-01
23.75748,90.56729,416.64377,2023-01-01
23.758818,90.46756,417.18845,2023-01-01
23.572588,90.368614,418.62698,2023-01-01
21.438095,84.708565,413.50452,2023-01-01
21.440968,84.70773,415.85764,2023-01-01
21.447365,84.70727,414.88403,2023-01-01
38.994743,105.17032,419.8505,2023-01-02
38.99508,105.16783,420.06738,2023-01-02
38.99689,105.16588,420.99686,2023-01-02
38.598957,108.18442,419.64505,2023-01-02
38.59736,108.18299,419.47964,2023-01-02
38.599434,108.181946,420.13397,2023-01-02
37.917423,111.10552,420.28934,2023-01-02
37.9161,111.10425,420.93692,2023-01-02
37.91579,111.10321,420.44577,2023-01-02
35.443542,110.29091,422.34537,2023-01-02
35.43977,110.28787,422.72876,2023-01-02
35.437225,110.2852,423.25946,2023-01-02
36.097904,107.44725,424.0817,2023-01-02
36.097454,107.44517,422.33005,2023-01-02
36.09691,107.44338,421.6616,2023-01-02
36.495667,104.522354,421.07196,2023-01-02
36.49768,104.52142,420.2827,2023-01-02
19.753757,102.68526,418.58417,2023-01-02
17.484024,99.932884,418.3894,2023-01-02
17.208836,99.989456,418.92288,2023-01-02
38.989586,80.6228,419.84576,2023-01-02
38.991844,80.61839,418.4046,2023-01-02
38.598755,83.63925,417.93692,2023-01-02
38.595642,83.63729,417.8886,2023-01-02
38.595066,83.63553,417.43954,2023-01-02
36.094936,82.90136,420.10995,2023-01-02
36.092335,82.89864,419.8763,2023-01-02
36.092022,82.89693,419.9511,2023-01-02
21.813883,81.53063,417.85052,2023-01-02
33.8236,119.714836,423.14502,2023-01-03
37.679375,102.83842,417.50085,2023-01-03
37.679523,102.83736,417.829,2023-01-03
30.456095,100.56544,420.91895,2023-01-03
30.451538,100.56294,419.4362,2023-01-03
30.44766,100.56136,423.74814,2023-01-03
25.442629,99.17524,425.15955,2023-01-03
25.438637,99.171906,427.24173,2023-01-03
25.437733,99.16958,425.01837,2023-01-03
26.057796,96.613174,417.32587,2023-01-03
26.057821,96.611206,416.77988,2023-01-03
26.058695,96.60975,415.62543,2023-01-03
26.44496,93.97939,414.7567,2023-01-03
26.448061,93.9784,415.03806,2023-01-03
23.910324,93.44135,414.5964,2023-01-03
23.909122,93.4389,414.30267,2023-01-03
23.91149,93.43738,417.4719,2023-01-03
21.441755,92.89103,418.61862,2023-01-03
21.444942,92.8898,417.6203,2023-01-03
21.449535,92.88859,416.9499,2023-01-03
18.500467,94.83615,418.11813,2023-01-03
18.502762,94.835335,417.82446,2023-01-03
18.503294,94.83379,418.3163,2023-01-03
17.89624,97.26884,421.8097,2023-01-03
38.016197,114.50124,426.36276,2023-01-04
37.99661,112.52663,427.41528,2023-01-04
37.700714,114.504684,426.8379,2023-01-04
36.350925,113.20576,426.88773,2023-01-04
32.610043,117.058525,421.38757,2023-01-04
31.429428,115.7685,423.33688,2023-01-04
37.74175,95.35034,418.68698,2023-01-04
37.383774,94.90049,417.21262,2023-01-04
37.677242,94.651245,414.94702,2023-01-04
37.67473,94.64961,416.40118,2023-01-04
37.672626,94.64778,416.11606,2023-01-04
31.502205,86.97154,413.7746,2023-01-04
28.946476,86.392685,419.42746,2023-01-04
28.946423,86.390305,418.08627,2023-01-04
28.947117,86.388336,417.4979,2023-01-04
24.963997,91.68543,414.58606,2023-01-04
24.963993,90.6893,415.55768,2023-01-04
24.464382,91.68687,419.74188,2023-01-04
24.463646,90.69036,417.14145,2023-01-04
24.773962,87.848,420.9209,2023-01-04
22.12305,87.5232,421.75613,2023-01-04
21.884832,87.072174,422.08273,2023-01-04
21.639297,86.61806,420.31503,2023-01-04
21.443377,84.706856,417.56467,2023-01-04
39.860943,109.38964,419.35892,2023-01-05
38.60034,108.18406,419.31992,2023-01-05
38.601234,108.18338,420.50946,2023-01-05
38.60011,108.18146,420.78928,2023-01-05
37.91785,111.10494,419.7397,2023-01-05
37.918472,111.10445,419.964,2023-01-05
37.917152,111.103065,419.88077,2023-01-05
35.446102,110.29107,426.54517,2023-01-05
35.439133,110.28511,422.5359,2023-01-05
36.10104,107.44741,419.88583,2023-01-05
36.09954,107.44492,419.29156,2023-01-05
